emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
🐯,U+1F42F,59601,U+1F42F,🐯,tiger face,0.6,Animals & Nature,animal-mammal,fully-qualified
😣,U+1F623,59352,U+1F623,😣,persevering face,0.6,Smileys & Emotion,face-concerned,fully-qualified
👨,U+1F468,59333,U+1F468,👨,man,0.6,People & Body,person,fully-qualified
🏋️,U+1F3CB U+FE0F,59292,U+1F3CB U+FE0F,🏋️,person lifting weights,0.7,People & Body,person-sport,fully-qualified
🧨,U+1F9E8,59173,U+1F9E8,🧨,firecracker,11.0,Activities,event,fully-qualified
🪻,U+1FABB,59124,U+1FABB,🪻,hyacinth,15.0,Animals & Nature,plant-flower,fully-qualified
🎣,U+1F3A3,59114,U+1F3A3,🎣,fishing pole,0.6,Activities,sport,fully-qualified
🌾,U+1F33E,59055,U+1F33E,🌾,sheaf of rice,0.6,Animals & Nature,plant-other,fully-qualified
🧢,U+1F9E2,58819,U+1F9E2,🧢,billed cap,5.0,Objects,clothing,fully-qualified
♿,U+267F,58807,U+267F,♿,wheelchair symbol,0.6,Symbols,transport-sign,fully-qualified
🚽,U+1F6BD,58796,U+1F6BD,🚽,toilet,0.6,Objects,household,fully-qualified
🌡️,U+1F321 U+FE0F,58593,U+1F321 U+FE0F,🌡️,thermometer,0.7,Travel & Places,sky & weather,fully-qualified
🍼,U+1F37C,58567,U+1F37C,🍼,baby bottle,1.0,Food & Drink,drink,fully-qualified
😺,U+1F63A,58342,U+1F63A,😺,grinning cat,0.6,Smileys & Emotion,cat-face,fully-qualified
👸,U+1F478,58242,U+1F478,👸,princess,0.6,People & Body,person-role,fully-qualified
🚘,U+1F698,57898,U+1F698,🚘,oncoming automobile,0.7,Travel & Places,transport-ground,fully-qualified
🦸,U+1F9B8,57869,U+1F9B8,🦸,superhero,11.0,People & Body,person-fantasy,fully-qualified
🇲🇦,U+1F1F2 U+1F1E6,57853,U+1F1F2 U+1F1E6,🇲🇦,flag: Morocco,2.0,Flags,country-flag,fully-qualified
♠️,U+2660 U+FE0F,57766,U+2660 U+FE0F,♠️,spade suit,0.6,Activities,game,fully-qualified
🏦,U+1F3E6,57722,U+1F3E6,🏦,bank,0.6,Travel & Places,place-building,fully-qualified
🕶️,U+1F576 U+FE0F,57705,U+1F576 U+FE0F,🕶️,sunglasses,0.7,Objects,clothing,fully-qualified
👙,U+1F459,57549,U+1F459,👙,bikini,0.6,Objects,clothing,fully-qualified
🌽,U+1F33D,57530,U+1F33D,🌽,ear of corn,0.6,Food & Drink,food-vegetable,fully-qualified
🪑,U+1FA91,57401,U+1FA91,🪑,chair,12.0,Objects,household,fully-qualified
👉🏼,U+1F449 U+1F3FC,57332,U+1F449 U+1F3FC,👉🏼,backhand index pointing right: medium-light skin tone,1.0,People & Body,hand-single-finger,fully-qualified
⛏️,U+26CF U+FE0F,57272,U+26CF U+FE0F,⛏️,pick,0.7,Objects,tool,fully-qualified
👧,U+1F467,57239,U+1F467,👧,girl,0.6,People & Body,person,fully-qualified
🤧,U+1F927,57160,U+1F927,🤧,sneezing face,3.0,Smileys & Emotion,face-unwell,fully-qualified
🐘,U+1F418,57094,U+1F418,🐘,elephant,0.6,Animals & Nature,animal-mammal,fully-qualified
🇦🇹,U+1F1E6 U+1F1F9,56662,U+1F1E6 U+1F1F9,🇦🇹,flag: Austria,2.0,Flags,country-flag,fully-qualified
😶,U+1F636,56625,U+1F636,😶,face without mouth,1.0,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🍨,U+1F368,56511,U+1F368,🍨,ice cream,0.6,Food & Drink,food-sweet,fully-qualified
😯,U+1F62F,56428,U+1F62F,😯,hushed face,1.0,Smileys & Emotion,face-concerned,fully-qualified
🦠,U+1F9A0,56349,U+1F9A0,🦠,microbe,11.0,Animals & Nature,animal-bug,fully-qualified
🌃,U+1F303,56261,U+1F303,🌃,night with stars,0.6,Travel & Places,place-other,fully-qualified
⛓️,U+26D3 U+FE0F,56259,U+26D3 U+FE0F,⛓️,chains,0.7,Objects,tool,fully-qualified
😿,U+1F63F,56228,U+1F63F,😿,crying cat,0.6,Smileys & Emotion,cat-face,fully-qualified
🥭,U+1F96D,56197,U+1F96D,🥭,mango,11.0,Food & Drink,food-fruit,fully-qualified
⬛,U+2B1B,56106,U+2B1B,⬛,black large square,0.6,Symbols,geometric,fully-qualified
🧑‍💻,U+1F9D1 U+200D U+1F4BB,56101,U+1F9D1 U+200D U+1F4BB,🧑‍💻,technologist,12.1,People & Body,person-role,fully-qualified
🇨🇿,U+1F1E8 U+1F1FF,56043,U+1F1E8 U+1F1FF,🇨🇿,flag: Czechia,2.0,Flags,country-flag,fully-qualified
📒,U+1F4D2,55876,U+1F4D2,📒,ledger,0.6,Objects,book-paper,fully-qualified
🔌,U+1F50C,55850,U+1F50C,🔌,electric plug,0.6,Objects,computer,fully-qualified
👺,U+1F47A,55653,U+1F47A,👺,goblin,0.6,Smileys & Emotion,face-costume,fully-qualified
🐊,U+1F40A,55561,U+1F40A,🐊,crocodile,1.0,Animals & Nature,animal-reptile,fully-qualified
🌵,U+1F335,55541,U+1F335,🌵,cactus,0.6,Animals & Nature,plant-other,fully-qualified
🎗️,U+1F397 U+FE0F,55487,U+1F397 U+FE0F,🎗️,reminder ribbon,0.7,Activities,event,fully-qualified
🌪️,U+1F32A U+FE0F,55477,U+1F32A U+FE0F,🌪️,tornado,0.7,Travel & Places,sky & weather,fully-qualified
📏,U+1F4CF,55254,U+1F4CF,📏,straight ruler,0.6,Objects,office,fully-qualified
👨‍🍳,U+1F468 U+200D U+1F373,54876,U+1F468 U+200D U+1F373,👨‍🍳,man cook,4.0,People & Body,person-role,fully-qualified
🍣,U+1F363,54873,U+1F363,🍣,sushi,0.6,Food & Drink,food-asian,fully-qualified
🇳🇴,U+1F1F3 U+1F1F4,54821,U+1F1F3 U+1F1F4,🇳🇴,flag: Norway,2.0,Flags,country-flag,fully-qualified
🌭,U+1F32D,54464,U+1F32D,🌭,hot dog,1.0,Food & Drink,food-prepared,fully-qualified
🥞,U+1F95E,54135,U+1F95E,🥞,pancakes,3.0,Food & Drink,food-prepared,fully-qualified
♂️,U+2642 U+FE0F,53638,U+2642 U+FE0F,♂️,male sign,4.0,Symbols,gender,fully-qualified
⬜,U+2B1C,53549,U+2B1C,⬜,white large square,0.6,Symbols,geometric,fully-qualified
🏨,U+1F3E8,53325,U+1F3E8,🏨,hotel,0.6,Travel & Places,place-building,fully-qualified
🦀,U+1F980,53227,U+1F980,🦀,crab,1.0,Animals & Nature,animal-marine,fully-qualified
🥥,U+1F965,53108,U+1F965,🥥,coconut,5.0,Food & Drink,food-fruit,fully-qualified
🐬,U+1F42C,53043,U+1F42C,🐬,dolphin,0.6,Animals & Nature,animal-marine,fully-qualified
🧛,U+1F9DB,53036,U+1F9DB,🧛,vampire,5.0,People & Body,person-fantasy,fully-qualified
🪪,U+1FAAA,52846,U+1FAAA,🪪,identification card,14.0,Objects,other-object,fully-qualified
🛋️,U+1F6CB U+FE0F,52757,U+1F6CB U+FE0F,🛋️,couch and lamp,0.7,Objects,household,fully-qualified
💪🏼,U+1F4AA U+1F3FC,52734,U+1F4AA U+1F3FC,💪🏼,flexed biceps: medium-light skin tone,1.0,People & Body,body-parts,fully-qualified
⛪,U+26EA,52557,U+26EA,⛪,church,0.6,Travel & Places,place-religious,fully-qualified
🏙️,U+1F3D9 U+FE0F,52412,U+1F3D9 U+FE0F,🏙️,cityscape,0.7,Travel & Places,place-other,fully-qualified
🙏🏽,U+1F64F U+1F3FD,52370,U+1F64F U+1F3FD,🙏🏽,folded hands: medium skin tone,1.0,People & Body,hands,fully-qualified
⛵,U+26F5,52291,U+26F5,⛵,sailboat,0.6,Travel & Places,transport-water,fully-qualified
🦜,U+1F99C,52215,U+1F99C,🦜,parrot,11.0,Animals & Nature,animal-bird,fully-qualified
🕒,U+1F552,51950,U+1F552,🕒,three o’clock,0.6,Travel & Places,time,fully-qualified
🦍,U+1F98D,51866,U+1F98D,🦍,gorilla,3.0,Animals & Nature,animal-mammal,fully-qualified
🥃,U+1F943,51846,U+1F943,🥃,tumbler glass,3.0,Food & Drink,drink,fully-qualified
🦾,U+1F9BE,51767,U+1F9BE,🦾,mechanical arm,12.0,People & Body,body-parts,fully-qualified
🚆,U+1F686,51693,U+1F686,🚆,train,1.0,Travel & Places,transport-ground,fully-qualified
📗,U+1F4D7,51678,U+1F4D7,📗,green book,0.6,Objects,book-paper,fully-qualified
☂️,U+2602 U+FE0F,51641,U+2602 U+FE0F,☂️,umbrella,0.7,Travel & Places,sky & weather,fully-qualified
