emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
🤪,U+1F92A,15090,U+1F92A,🤪,zany face,5.0,Smileys & Emotion,face-tongue,fully-qualified
🥲,U+1F972,15074,U+1F972,🥲,smiling face with tear,13.0,Smileys & Emotion,face-affection,fully-qualified
🗓️,U+1F5D3 U+FE0F,15019,U+1F5D3 U+FE0F,🗓️,spiral calendar,0.7,Objects,office,fully-qualified
😃,U+1F603,14887,U+1F603,😃,grinning face with big eyes,0.6,Smileys & Emotion,face-smiling,fully-qualified
📜,U+1F4DC,14886,U+1F4DC,📜,scroll,0.6,Objects,book-paper,fully-qualified
👌,U+1F44C,14841,U+1F44C,👌,OK hand,0.6,People & Body,hand-fingers-partial,fully-qualified
🙃,U+1F643,14825,U+1F643,🙃,upside-down face,1.0,Smileys & Emotion,face-smiling,fully-qualified
💌,U+1F48C,14795,U+1F48C,💌,love letter,0.6,Smileys & Emotion,heart,fully-qualified
🎓,U+1F393,14724,U+1F393,🎓,graduation cap,0.6,Objects,clothing,fully-qualified
❤️‍🔥,U+2764 U+FE0F U+200D U+1F525,14691,U+2764 U+FE0F U+200D U+1F525,❤️‍🔥,heart on fire,13.1,Smileys & Emotion,heart,fully-qualified
🗿,U+1F5FF,14651,U+1F5FF,🗿,moai,0.6,Objects,other-object,fully-qualified
🍽️,U+1F37D U+FE0F,14539,U+1F37D U+FE0F,🍽️,fork and knife with plate,0.7,Food & Drink,dishware,fully-qualified
☝️,U+261D U+FE0F,14525,U+261D U+FE0F,☝️,index pointing up,0.6,People & Body,hand-single-finger,fully-qualified
🔔,U+1F514,14365,U+1F514,🔔,bell,0.6,Objects,sound,fully-qualified
☎️,U+260E U+FE0F,14263,U+260E U+FE0F,☎️,telephone,0.6,Objects,phone,fully-qualified
🛠️,U+1F6E0 U+FE0F,14237,U+1F6E0 U+FE0F,🛠️,hammer and wrench,0.7,Objects,tool,fully-qualified
🍺,U+1F37A,14223,U+1F37A,🍺,beer mug,0.6,Food & Drink,drink,fully-qualified
🍷,U+1F377,14161,U+1F377,🍷,wine glass,0.6,Food & Drink,drink,fully-qualified
💋,U+1F48B,14160,U+1F48B,💋,kiss mark,0.6,Smileys & Emotion,emotion,fully-qualified
1️⃣,U+0031 U+FE0F U+20E3,14149,U+0031 U+FE0F U+20E3,1️⃣,keycap: 1,0.6,Symbols,keycap,fully-qualified
🤷,U+1F937,14140,U+1F937,🤷,person shrugging,3.0,People & Body,person-gesture,fully-qualified
🪄,U+1FA84,14135,U+1FA84,🪄,magic wand,13.0,Activities,game,fully-qualified
⚙️,U+2699 U+FE0F,14058,U+2699 U+FE0F,⚙️,gear,1.0,Objects,tool,fully-qualified
😜,U+1F61C,13914,U+1F61C,😜,winking face with tongue,0.6,Smileys & Emotion,face-tongue,fully-qualified
🇵🇸,U+1F1F5 U+1F1F8,13905,U+1F1F5 U+1F1F8,🇵🇸,flag: Palestinian Territories,2.0,Flags,country-flag,fully-qualified
🌙,U+1F319,13896,U+1F319,🌙,crescent moon,0.6,Travel & Places,sky & weather,fully-qualified
🫂,U+1FAC2,13739,U+1FAC2,🫂,people hugging,13.0,People & Body,person-symbol,fully-qualified
😮‍💨,U+1F62E U+200D U+1F4A8,13718,U+1F62E U+200D U+1F4A8,😮‍💨,face exhaling,13.1,Smileys & Emotion,face-neutral-skeptical,fully-qualified
