emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
🌒,U+1F312,135741,U+1F312,🌒,waxing crescent moon,1.0,Travel & Places,sky & weather,fully-qualified
☕,U+2615,133981,U+2615,☕,hot beverage,0.6,Food & Drink,drink,fully-qualified
🤝,U+1F91D,133701,U+1F91D,🤝,handshake,3.0,People & Body,hands,fully-qualified
💸,U+1F4B8,132627,U+1F4B8,💸,money with wings,0.6,Objects,money,fully-qualified
📅,U+1F4C5,131991,U+1F4C5,📅,calendar,0.6,Objects,office,fully-qualified
🙄,U+1F644,127107,U+1F644,🙄,face with rolling eyes,1.0,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🎵,U+1F3B5,126628,U+1F3B5,🎵,musical note,0.6,Objects,music,fully-qualified
☺️,U+263A U+FE0F,126077,U+263A U+FE0F,☺️,smiling face,0.6,Smileys & Emotion,face-affection,fully-qualified
💬,U+1F4AC,126061,U+1F4AC,💬,speech balloon,0.6,Smileys & Emotion,emotion,fully-qualified
👏,U+1F44F,124635,U+1F44F,👏,clapping hands,0.6,People & Body,hands,fully-qualified
🥀,U+1F940,122850,U+1F940,🥀,wilted flower,3.0,Animals & Nature,plant-flower,fully-qualified
🙌,U+1F64C,121953,U+1F64C,🙌,raising hands,0.6,People & Body,hands,fully-qualified
💛,U+1F49B,121631,U+1F49B,💛,yellow heart,0.6,Smileys & Emotion,heart,fully-qualified
🎨,U+1F3A8,121259,U+1F3A8,🎨,artist palette,0.6,Activities,arts & crafts,fully-qualified
❗,U+2757,120360,U+2757,❗,red exclamation mark,0.6,Symbols,punctuation,fully-qualified
‼️,U+203C U+FE0F,119869,U+203C U+FE0F,‼️,double exclamation mark,0.6,Symbols,punctuation,fully-qualified
📖,U+1F4D6,119737,U+1F4D6,📖,open book,0.6,Objects,book-paper,fully-qualified
📝,U+1F4DD,118600,U+1F4DD,📝,memo,0.6,Objects,writing,fully-qualified
✈️,U+2708 U+FE0F,117950,U+2708 U+FE0F,✈️,airplane,0.6,Travel & Places,transport-air,fully-qualified
💥,U+1F4A5,117521,U+1F4A5,💥,collision,0.6,Smileys & Emotion,emotion,fully-qualified
🛒,U+1F6D2,117473,U+1F6D2,🛒,shopping cart,3.0,Objects,household,fully-qualified
🎶,U+1F3B6,112623,U+1F3B6,🎶,musical notes,0.6,Objects,music,fully-qualified
🤯,U+1F92F,112260,U+1F92F,🤯,exploding head,5.0,Smileys & Emotion,face-unwell,fully-qualified
💯,U+1F4AF,111930,U+1F4AF,💯,hundred points,0.6,Smileys & Emotion,emotion,fully-qualified
💕,U+1F495,110761,U+1F495,💕,two hearts,0.6,Smileys & Emotion,heart,fully-qualified
🌸,U+1F338,110405,U+1F338,🌸,cherry blossom,0.6,Animals & Nature,plant-flower,fully-qualified
🙂,U+1F642,110243,U+1F642,🙂,slightly smiling face,1.0,Smileys & Emotion,face-smiling,fully-qualified
📣,U+1F4E3,108996,U+1F4E3,📣,megaphone,0.6,Objects,sound,fully-qualified
🤭,U+1F92D,106475,U+1F92D,🤭,face with hand over mouth,5.0,Smileys & Emotion,face-hand,fully-qualified
🦃,U+1F983,106241,U+1F983,🦃,turkey,1.0,Animals & Nature,animal-bird,fully-qualified
🌊,U+1F30A,105812,U+1F30A,🌊,water wave,0.6,Travel & Places,sky & weather,fully-qualified
🏠,U+1F3E0,104037,U+1F3E0,🏠,house,0.6,Travel & Places,place-building,fully-qualified
🫩,U+1FAE9,103090,U+1FAE9,🫩,face with bags under eyes,16.0,Smileys & Emotion,face-sleepy,fully-qualified
🤖,U+1F916,103005,U+1F916,🤖,robot,1.0,Smileys & Emotion,face-costume,fully-qualified
⏰,U+23F0,102453,U+23F0,⏰,alarm clock,0.6,Travel & Places,time,fully-qualified
🏈,U+1F3C8,102110,U+1F3C8,🏈,american football,0.6,Activities,sport,fully-qualified
🌎,U+1F30E,101804,U+1F30E,🌎,globe showing Americas,0.7,Travel & Places,place-map,fully-qualified
😋,U+1F60B,100367,U+1F60B,😋,face savoring food,0.6,Smileys & Emotion,face-tongue,fully-qualified
📈,U+1F4C8,100023,U+1F4C8,📈,chart increasing,0.6,Objects,office,fully-qualified
🧡,U+1F9E1,99677,U+1F9E1,🧡,orange heart,5.0,Smileys & Emotion,heart,fully-qualified
🟢,U+1F7E2,99331,U+1F7E2,🟢,green circle,12.0,Symbols,geometric,fully-qualified
🎥,U+1F3A5,99233,U+1F3A5,🎥,movie camera,0.6,Objects,light & video,fully-qualified
🤑,U+1F911,97981,U+1F911,🤑,money-mouth face,1.0,Smileys & Emotion,face-tongue,fully-qualified
💩,U+1F4A9,97977,U+1F4A9,💩,pile of poo,0.6,Smileys & Emotion,face-costume,fully-qualified
✏️,U+270F U+FE0F,97678,U+270F U+FE0F,✏️,pencil,0.6,Objects,writing,fully-qualified
💻,U+1F4BB,97488,U+1F4BB,💻,laptop,0.6,Objects,computer,fully-qualified
🎂,U+1F382,96488,U+1F382,🎂,birthday cake,0.6,Food & Drink,food-sweet,fully-qualified
🖕,U+1F595,95068,U+1F595,🖕,middle finger,1.0,People & Body,hand-single-finger,fully-qualified
🧠,U+1F9E0,95036,U+1F9E0,🧠,brain,5.0,People & Body,body-parts,fully-qualified
📸,U+1F4F8,94490,U+1F4F8,📸,camera with flash,1.0,Objects,light & video,fully-qualified
🎀,U+1F380,94401,U+1F380,🎀,ribbon,0.6,Activities,event,fully-qualified
🥵,U+1F975,93464,U+1F975,🥵,hot face,11.0,Smileys & Emotion,face-unwell,fully-qualified
😬,U+1F62C,92966,U+1F62C,😬,grimacing face,1.0,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🫵,U+1FAF5,92829,U+1FAF5,🫵,index pointing at the viewer,14.0,People & Body,hand-single-finger,fully-qualified
😳,U+1F633,92527,U+1F633,😳,flushed face,0.6,Smileys & Emotion,face-concerned,fully-qualified
🤫,U+1F92B,89206,U+1F92B,🤫,shushing face,5.0,Smileys & Emotion,face-hand,fully-qualified
❓,U+2753,89133,U+2753,❓,red question mark,0.6,Symbols,punctuation,fully-qualified
😆,U+1F606,88065,U+1F606,😆,grinning squinting face,0.6,Smileys & Emotion,face-smiling,fully-qualified
📱,U+1F4F1,88023,U+1F4F1,📱,mobile phone,0.6,Objects,phone,fully-qualified
🤤,U+1F924,87218,U+1F924,🤤,drooling face,3.0,Smileys & Emotion,face-sleepy,fully-qualified
😱,U+1F631,86730,U+1F631,😱,face screaming in fear,0.6,Smileys & Emotion,face-concerned,fully-qualified
🐶,U+1F436,85755,U+1F436,🐶,dog face,0.6,Animals & Nature,animal-mammal,fully-qualified
📢,U+1F4E2,84840,U+1F4E2,📢,loudspeaker,0.6,Objects,sound,fully-qualified
🙃,U+1F643,83599,U+1F643,🙃,upside-down face,1.0,Smileys & Emotion,face-smiling,fully-qualified
🌈,U+1F308,82768,U+1F308,🌈,rainbow,0.6,Travel & Places,sky & weather,fully-qualified
🤞,U+1F91E,82101,U+1F91E,🤞,crossed fingers,3.0,People & Body,hand-fingers-partial,fully-qualified
😀,U+1F600,81950,U+1F600,😀,grinning face,1.0,Smileys & Emotion,face-smiling,fully-qualified
💎,U+1F48E,81930,U+1F48E,💎,gem stone,0.6,Objects,clothing,fully-qualified
🥲,U+1F972,80537,U+1F972,🥲,smiling face with tear,13.0,Smileys & Emotion,face-affection,fully-qualified
